name,nick,birth_date,height,weight,association,class,locality,country
Michelle Waterson,The Karate Hottie,1/6/1986,63,105,Jackson-Wink MMA,Atomweight,"Albuquerque, New Mexico",United States
Lisa Ellis,,11/15/1982,64,110,United Training Center,Strawweight,"Olympia, Washington",United States
Lisa Ellis,,11/15/1982,64,110,United Training Center,Strawweight,"Olympia, Washington",United States
Kailin Curran,,4/11/1991,63,113,Reign MMA,Strawweight,"Ewa Beach, Hawaii",United States
Karolina Kowalkiewicz,,10/15/1985,63,114,Gracie Barra Lodz,Strawweight,Lodz,Poland
Juliana Lima,Ju Thai,3/15/1982,65,115,Gracie Barra BH,Strawweight,"Belo Horizonte, Minas Gerais",Brazil
Claudia Gadelha,Claudinha,12/7/1988,63,115,Nova Uniao,Strawweight,"Mossoro, Rio Grande do Norte",Brazil
Carla Esparza,Cookie Monster,10/10/1987,61,115,Team Oyama,Strawweight,"Redondo Beach, California",United States
Jessica Aguilar,Jag,5/8/1982,64,115,American Top Team,Strawweight,"Houston, Texas",United States
Rose Namajunas,Thug,6/29/1992,65,115,The Academy,Strawweight,"Milwaukee, Wisconsin",United States
Paige VanZant,12 Gauge,3/26/1994,64,115,Team Alpha Male,Strawweight,"Sparks, Nevada",United States
Felice Herrig,Lil Bulldog,9/18/1984,64,115,Team Curran,Strawweight,"Buffalo Grove, Illinois",United States
Jessica Andrade,Bate Estaca,9/25/1991,62,115,Parana Vale Tudo,Strawweight,"Umuarama, Parana",Brazil
Sheila Gaff,The German Tank,12/29/1989,65,115,Pyranha MMA Offenbach,Strawweight,Offenbach,Germany
Tina Lahdemaki,Jelly Bean,5/28/1988,62,115,RNC Sport Club,Strawweight,"Hyvinkaa, Uusimaa",Finland
Randa Markos,Quiet Storm,8/10/1985,65,115,TriStar Gym,Strawweight,"Windsor, Ontario",Canada
Angela Magana,Your Majesty,8/2/1983,64,115,Team Four Corners,Strawweight,"Farmington, New Mexico",United States
Heather Clark,Hurricane,9/19/1980,66,115,Syndicate MMA,Strawweight,"Albuquerque, New Mexico",United States
Tecia Torres,The Tiny Tornado,8/16/1989,61,115,American Top Team,Strawweight,"Fort Lauderdale, Florida",United States
Alex Chambers,Astro Girl,10/28/1978,63,115,VT-1 Gym,Strawweight,"St. Ives, New South Wales",Australia
Angela Hill,Overkill,1/12/1988,63,115,Evolution Muay Thai,Strawweight,"Brooklyn, New York",United States
Cortney Casey,Cast Iron,5/5/1987,62,115,Freak Animal Fitness,Strawweight,"Phoenix, Arizona",United States
Maryna Moroz,The Iron Woman,9/8/1991,67,115,YK Promotion,Strawweight,Dnipropetrovsk,Ukraine
Joanna Jedrzejczyk,,8/18/1987,66,115,Berkut Arrachion Olsztyn,Strawweight,Olsztyn,Poland
Jessica Penne,,1/30/1983,65,115,Alliance MMA,Strawweight,"Huntington Beach, California",United States
Seo Hee Ham,,3/8/1987,62,115,CMA Korea,Strawweight,Busan,South Korea
Emily Kagan,,7/14/1981,63,115,Jackson-Wink MMA,Strawweight,"Albuquerque, New Mexico",United States
Jessica Rakoczy,Ragin',4/14/1977,67,115,,Strawweight,"Hamilton, Ontario",Canada
Jocelyn Jones-Lybarger,,10/4/1985,67,115,MMA Lab,Strawweight,"Phoenix, Arizona",United States
Izabela Badurek,,7/11/1991,64,115,WCA Fight Team,Strawweight,Lublin,Poland
Jocelyn Jones-Lybarger,,10/4/1985,67,115,MMA Lab,Strawweight,"Phoenix, Arizona",United States
Aleksandra Albu,Stitch,7/14/1990,62,115,Red Fury Fight Team,Strawweight,Moscow,Russia
Ericka Almeida,,3/5/1989,66,115,Team Nogueira,Strawweight,"Sorocaba, Sao Paulo",Brazil
Valerie Letourneau,Trouble,4/29/1983,67,116,American Top Team,Strawweight,"Montreal, Quebec",Canada
Joanne Calderwood,JoJo,12/23/1986,66,116,Dinky Ninjas,Strawweight,Glasgow,Scotland
Aisling Daly,Ais the Bash,12/24/1987,63,116,SBG Ireland,Strawweight,"Dublin, Leinster",Ireland
Nina Ansaroff,The Strina,12/3/1985,65,116,American Top Team,Strawweight,"Fort Lauderdale, Florida",United States
Bec Rawlings,Rowdy,2/11/1989,66,116,Gamebred Combat Club,Strawweight,"Brisbane, Queensland",Australia
Bec Rawlings,Rowdy,2/11/1989,66,116,Gamebred Combat Club,Strawweight,"Brisbane, Queensland",Australia
Justine Kish,,4/13/1988,65,116,Black House,Strawweight,"Cramerton, North Carolina",United States
Iliarde Santos,,9/25/1980,63,123,American Top Team,Flyweight,"Escada, Pernambuco",Brazil
Demetrious Johnson,Mighty Mouse,8/13/1986,63,125,AMC Pankration,Flyweight,"Kirkland, Washington",United States
Ian McCall,Uncle Creepy,7/5/1984,65,125,Team Oyama,Flyweight,"Dana Point, California",United States
Henry Cejudo,The Messenger,2/9/1987,64,125,Fight Ready,Flyweight,"Phoenix, Arizona",United States
John Dodson,The Magician,9/26/1984,63,125,Jackson-Wink MMA,Flyweight,"Albuquerque, New Mexico",United States
Chris Cariaso,Kamikaze,5/27/1981,63,125,Fight and Fitness,Flyweight,"San Francisco, California",United States
Ali Bagautinov,Puncher,6/12/1985,64,125,Fight Nights Team,Flyweight,Dagestan,Russia
Damacio Page,The Angel of Death,9/30/1982,66,125,Jackson-Wink MMA,Flyweight,"Albuquerque, New Mexico",United States
Brad Pickett,One Punch,9/24/1978,66,125,American Top Team,Flyweight,London,England
Phil Harris,Billy,4/9/1983,65,125,Gym01,Flyweight,"Portsmouth, Hampshire",England
Neil Seery,2 Tap,8/30/1979,66,125,Team Ryano MMA,Flyweight,"Dublin, Leinster",Ireland
Patrick Holohan,The Hooligan,5/3/1988,69,125,SBG Ireland,Flyweight,Dublin,Ireland
Louis Gaudinot,Goodnight,8/28/1984,63,125,Team Tiger Schulmann,Flyweight,"Yonkers, New York",United States
Richie Vaculik,Vas,6/19/1983,66,125,TP Fight Team,Flyweight,"Maroubra, New South Wales",Australia
Louis Smolka,Da Last Samurai,7/16/1991,69,125,Hawaii Elite MMA,Flyweight,"Waipahu, Hawaii",United States
Ben Nguyen,10,8/3/1988,64,125,Integrated MMA,Flyweight,"Sioux Falls, South Dakota",United States
Josh Sampo,The Gremlin,7/24/1984,64,125,Team Oyama,Flyweight,"Lindenwood, Missouri",United States
Darren Uyenoyama,BC,10/15/1979,66,125,Faito Tamashii Combat Club,Flyweight,"San Francisco, California",United States
Ray Borg,The Tazmexican Devil,8/4/1993,64,125,Fit NHB,Flyweight,"Albuquerque, New Mexico",United States
Chico Camus,King,1/26/1985,66,125,Roufusport,Flyweight,"Milwaukee, Wisconsin",United States
Jon delos Reyes,The Heat,8/19/1987,65,125,Countershot MMA,Flyweight,"Tamuning, Guam",United States
Alptekin Ozkilic,The Turkish Delight,3/27/1986,65,125,Bellmore Kickboxing Academy,Flyweight,"Long Island, New York",United States
Ryan Benoit,Baby Face,8/25/1989,65,125,Janjira Muay Thai,Flyweight,"Dallas, Texas",United States
Zach Makovsky,Fun Size,6/30/1982,64,125,Philadelphia Fight Factory,Flyweight,"Bethlehem, Pennsylvania",United States
Shunichi Shimizu,Rolling Star,1/31/1985,66,125,Uruno Dojo,Flyweight,Tokyo,Japan
Jussier da Silva,Formiga,4/14/1985,65,125,Kimura Nova Uniao,Flyweight,"Natal, Rio Grande do Norte",Brazil
Josh Sampo,The Gremlin,7/24/1984,64,125,Team Oyama,Flyweight,"Lindenwood, Missouri",United States
Darrell Montague,The Mongoose,11/3/1987,66,125,Millennia MMA,Flyweight,"Chino, California",United States
Sergio Pettis,The Phenom,8/18/1993,66,125,Roufusport,Flyweight,"Milwaukee, Wisconsin",United States
Roldan Sangcha-an,The Executioner,12/4/1990,64,125,Lakay MMA,Flyweight,"Baguio, Cordillera Administrative Region",Philippines
Pedro Nobre,The Rock,2/13/1986,65,125,Rio Fighters,Flyweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Ulysses Gomez,Useless,5/25/1983,65,125,Marc Laimon's Cobra Kai,Flyweight,"Las Vegas, Nevada",United States
Chris Kelades,The Greek Assassin,2/21/1981,67,125,Fit Plus,Flyweight,"Cole Harbour, Nova Scotia",Canada
Roxanne Modafferi,The Happy Warrior,9/24/1982,66,125,Syndicate MMA,Flyweight,"Las Vegas, Nevada",United States
Geane Herrera,La Pulga,5/27/1990,65,125,Banks MMA,Flyweight,"Tampa, Florida",United States
Josh Ferguson,Taz,,65,125,All American MMA,Flyweight,"Louisville, Kentucky",United States
Jose Maria Tome,No Chance,1/4/1982,65,125,Team Nogueira,Flyweight,"Limoeiro do Norte, Ceara",Brazil
Bentley Syler,Dr. Bolivia,12/22/1982,64,125,American Top Team,Flyweight,Santa Cruz,Bolivia
Dustin Ortiz,,12/25/1988,65,125,Roufusport,Flyweight,"Goshen, Indiana",United States
Joseph Benavidez,,7/31/1984,64,125,Team Alpha Male,Flyweight,"Sacramento, California",United States
